"id","code","name","depreciation_rate"
"asset_legal_rate_2250","2250","Máquinas, aparelhos e ferramentas: Equipamentos de energia solar incluindo nomeadamente equipamentos de energia solar fotovoltaica, ou equipamentos de energia eólica",8.00
"asset_legal_rate_2251","2251","Máquinas, aparelhos e ferramentas: Aparelhos telemóveis",20.00
"asset_legal_rate_2255","2255","Equipamento de oficinas privativas: De carpintaria",12.50
"asset_legal_rate_2260","2260","Equipamento de oficinas privativas: De serralharia e mecânica",14.28
"asset_legal_rate_2265","2265","Ferramentas e utensílios",25.00
"asset_legal_rate_2270","2270","Guindastes",12.50
"asset_legal_rate_2275","2275","Máquinas de escrever, de calcular, de contabilidade e de fotocopiar",20.00
"asset_legal_rate_2280","2280","Máquinas-ferramentas: Ligeiras",20.00
"asset_legal_rate_2285","2285","Máquinas-ferramentas: Pesadas",12.50
"asset_legal_rate_2290","2290","Máquinas de lavagem automática de veículos",20.00
"asset_legal_rate_2295","2295","Máquinas não especificadas",12.50
"asset_legal_rate_2300","2300","Material de incêndio (extintores e outros)",25.00
"asset_legal_rate_2305","2305","Material de queima",14.28
"asset_legal_rate_2310","2310","Motores",12.50
"asset_legal_rate_2315","2315","Televisores",14.28
"asset_legal_rate_2320","2320","Aeronaves",20.00
"asset_legal_rate_2325","2325","Barcos: De ferro",7.14
"asset_legal_rate_2330","2330","Barcos: De madeira",10.00
"asset_legal_rate_2335","2335","Barcos: De borracha",12.50
"asset_legal_rate_2340","2340","Bicicletas, triciclos e motociclos",25.00
"asset_legal_rate_2345","2345","Tratores e atrelados, empilhadores e carros com caixa basculante dumpers)",16.66
"asset_legal_rate_2350","2350","Vagões",4.00
"asset_legal_rate_2355","2355","Veículos de tração animal, compreendendo animais de tiro",12.50
"asset_legal_rate_2360","2360","Vias férreas normais",4.00
"asset_legal_rate_2365","2365","Vias férreas (sistema Decauville) e respetivo material rolante",10.00
"asset_legal_rate_2370","2370","Veículos automóveis: Funerários",12.50
"asset_legal_rate_2375","2375","Veículos automóveis: Ligeiros e mistos",25.00
"asset_legal_rate_2380","2380","Veículos automóveis: Pesados de passageiros",14.28
