id,code,name
hr_tax_office_3409,3409,ALMADA-3. C.CAPARICA
hr_tax_office_3417,3417,AVEIRO-2.
hr_tax_office_3425,3425,BRAGA-2.
hr_tax_office_3433,3433,CASCAIS-2.
hr_tax_office_3441,3441,FEIRA-2
hr_tax_office_3450,3450,FUNCHAL-2.
hr_tax_office_3468,3468,GONDOMAR-2
hr_tax_office_3476,3476,GUIMARAES-2.
hr_tax_office_3492,3492,LOURES-4.
hr_tax_office_3514,3514,MATOSINHOS-2.
hr_tax_office_3522,3522,OEIRAS-3.ALGES
hr_tax_office_3530,3530,SETUBAL 2.
hr_tax_office_3549,3549,SINTRA-2. ALGUEIRAO
hr_tax_office_3557,3557,SINTRA-3. CACEM
hr_tax_office_3565,3565,VALONGO-2. ERMESINDE
hr_tax_office_3573,3573,VILA FRANCA XIRA-2.
hr_tax_office_3590,3590,VILA N.FAMALICAO 2.
hr_tax_office_3603,3603,LEIRIA-2.
hr_tax_office_3611,3611,AMADORA-3.
hr_tax_office_3654,3654,OEIRAS-2.
hr_tax_office_3697,3697,SEIXAL-2.
hr_tax_office_3735,3735,FEIRA-3
hr_tax_office_3794,3794,CASTELO BRANCO-2.
hr_tax_office_3824,3824,FIGUEIRA DA FOZ 2.
hr_tax_office_3859,3859,LOULE-2
hr_tax_office_3964,3964,VILA NOVA DE GAIA-3
hr_tax_office_4170,4170,FEIRA-4
hr_tax_office_4200,4200,VIZELA
hr_tax_office_4219,4219,TROFA
hr_tax_office_4227,4227,ODIVELAS
